#Evangervatn, 62.115.0, Vannstand, time
Tidspunkt;Vannstand (m);Korrigert;Kontrollert
2024-06-21 22:00:00Z;8,687376;1;3
2024-06-21 23:00:00Z;8,68625;1;3
2024-06-22 00:00:00Z;8,686625;1;3
2024-06-22 01:00:00Z;8,684129;1;3
2024-06-22 02:00:00Z;8,675017;1;3
2024-06-22 03:00:00Z;8,65977;1;3
2024-06-22 04:00:00Z;8,647888;1;3
2024-06-22 05:00:00Z;8,636138;1;3
2024-06-22 06:00:00Z;8,625508;1;3
2024-06-22 07:00:00Z;8,617632;1;3
2024-06-22 08:00:00Z;8,608134;1;3
2024-06-22 09:00:00Z;8,599257;1;3
2024-06-22 10:00:00Z;8,592005;1;3
2024-06-22 11:00:00Z;8,585005;1;3
2024-06-22 12:00:00Z;8,578379;1;3
2024-06-22 13:00:00Z;8,573628;1;3
2024-06-22 14:00:00Z;8,568003;1;3
2024-06-22 15:00:00Z;8,567875;1;3
2024-06-22 16:00:00Z;8,568877;1;3
2024-06-22 17:00:00Z;8,574628;1;3
2024-06-22 18:00:00Z;8,579756;1;3
2024-06-22 19:00:00Z;8,589388;1;3
2024-06-22 20:00:00Z;8,601261;1;3
2024-06-22 21:00:00Z;8,608253;1;3
2024-06-22 22:00:00Z;8,609875;1;3
2024-06-22 23:00:00Z;8,611758;1;3
2024-06-23 00:00:00Z;8,62364;1;3
2024-06-23 01:00:00Z;8,634131;1;3
2024-06-23 02:00:00Z;8,638876;1;3
2024-06-23 03:00:00Z;8,64175;1;3
2024-06-23 04:00:00Z;8,64325;1;3
2024-06-23 05:00:00Z;8,644504;1;3
2024-06-23 06:00:00Z;8,637132;1;3
2024-06-23 07:00:00Z;8,628757;1;3
2024-06-23 08:00:00Z;8,61901;1;3
2024-06-23 09:00:00Z;8,609135;1;3
2024-06-23 10:00:00Z;8,600133;1;3
2024-06-23 11:00:00Z;8,592131;1;3
2024-06-23 12:00:00Z;8,585254;1;3
2024-06-23 13:00:00Z;8,580003;1;3
2024-06-23 14:00:00Z;8,575626;1;3
2024-06-23 15:00:00Z;8,57525;1;3
2024-06-23 16:00:00Z;8,577879;1;3
2024-06-23 17:00:00Z;8,588035;1;3
2024-06-23 18:00:00Z;8,610426;1;3
2024-06-23 19:00:00Z;8,630153;1;3
2024-06-23 20:00:00Z;8,644143;1;3
2024-06-23 21:00:00Z;8,657515;1;3
2024-06-23 22:00:00Z;8,668641;1;3
2024-06-23 23:00:00Z;8,682895;1;3
2024-06-24 00:00:00Z;8,696892;1;3
2024-06-24 01:00:00Z;8,70926;1;3
2024-06-24 02:00:00Z;8,717005;1;3
2024-06-24 03:00:00Z;8,724131;1;3
2024-06-24 04:00:00Z;8,731128;1;3
2024-06-24 05:00:00Z;8,733941;1;3
2024-06-24 06:00:00Z;8,739909;1;3
2024-06-24 07:00:00Z;8,745751;1;3
2024-06-24 08:00:00Z;8,750628;1;3
2024-06-24 09:00:00Z;8,758252;1;3
2024-06-24 10:00:00Z;8,760253;1;3
2024-06-24 11:00:00Z;8,750385;1;3
2024-06-24 12:00:00Z;8,735607;1;3
2024-06-24 13:00:00Z;8,721044;1;3
2024-06-24 14:00:00Z;8,708508;1;3
2024-06-24 15:00:00Z;8,706504;1;3
